Grant Id,CIA Full Name,Grant Admin Institution,State,Sector ,CEO Taxonomy,Main Funding Group,Funding Scheme,RMIS Grant Subtype,Scientific Title,Simplified Title,App Year,Start Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total (Cal Yr),Broad Research Area ,Main Category FOR,Field Of Research (FOR),Research KW 1,Research KW 2,Research KW 3,Research KW 4,Research KW 5,Health KW 1,Health KW 2,Health KW 3,Health KW 4,Health KW 5
284375,Dr Cynthia B Whitchurch,University of Technology Sydney,NSW,University,Building Capacity-People,People Support,Career Development Award,Biomedical CDA,Molecular Analysis of Preudomonas aeruginosa Pathogenesis,Molecular Analysis of Preudomonas aeruginosa Pathogenesis,2003,2004,,"$85,250","$87,250","$89,000","$90,500","$69,375",,"$23,125",,,,,,,,"$444,500",Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,pathogenesis,pseudomonas aeruginosa,,,,,,,,
299078,Dr Tania  Crotti,University of Adelaide,SA,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Role of the bone matrix and coordinate expressof CTR and Beta 3 in initiating terminal differentiation...,Role of the bone matrix and coordinate expressof CTR and Beta 3 in initiating terminal differentiation...,2003,2004,,"$86,291","$92,733","$45,268",,"$49,196","$52,188","$42,747","$36,254",,,,,,,"$404,677",Basic Science,CLINICAL SCIENCES,Rheumatology and Arthritis,Bone Erosion,Bone Matrix,CTR and Beta 3 gene expression,Osteoclasts,Osteoporosis,,,,,
300095,Dr Scott N Mueller,University of Melbourne,VIC,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Investigation of the signal(s) involved in the selection of memory T cells from the effector CD8+T cell pool following..,Investigation of the signal(s) involved in the selection of memory T cells from the effector CD8+T cell pool following..,2003,2004,,"$87,222","$77,891",,,"$17,438",,"$36,254",,,,,,,,"$218,805",Basic Science,IMMUNOLOGY,Cellular Immunology,Cellular immunity,Immunological memory,T lymphocyte,Vaccine,Viral infection,,,,,
300610,Dr Tertia D Purves-Tyson,University of New South Wales,NSW,University,Building Capacity-People,People Support,Training Fellowship (Australia),Peter Doherty Fellowship,Effect of estrogen on signalling mechanisms of the pelvic autonomic nervous system underlying bladder ...,Effect of estrogen on signalling mechanisms of the pelvic autonomic nervous system underlying bladder ...,2003,2004,,"$32,375","$37,940","$64,760","$68,500","$50,438","$49,188","$41,655",,,,,,,,"$344,856",Basic Science,NEUROSCIENCES,Cellular Nervous System,diabetic polyneuropathy,neuronal signalling,parasympathetic,steroid hormones,sympathetic,,,,,
303112,A/Pr Wallace Y Langdon,University of Western Australia,WA,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2003,2004,,"$122,500","$125,250","$127,750","$130,250","$133,000","$135,500","$138,074",,,,,,,,"$912,324",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Protein Targeting and Signal Transduction,Protein targeting,,,,,,,,,
307728,Dr Martin K. C. Ng,University of Sydney,NSW,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,the role of asymmetric dimethylarginine and dimethylarginine dimethylaminohydrolase,the role of asymmetric dimethylarginine and dimethylarginine dimethylaminohydrolase,2003,2004,,"$102,017","$101,064","$71,000",,,,"$38,000",,,,,,,,"$312,081",Basic Science,CLINICAL SCIENCES,Cardiology (incl. Cardiovascular Diseases),Asymmetric dimethylarginine,Dimethylarginine dimethylaminohydrolase,endothelium,nitric oxide,vascular injury,,,,,
307758,Prof John R Simes,University of Sydney,NSW,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,A National Clinical Trials Register,A National Clinical Trials Register,2003,2006,,,,"$600,000","$350,000","$350,000","$150,000","$400,000","$350,000",,,,,,,"$2,200,000",Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,Clinical Effectiveness,Clinical Trials,Evidence Based Medicine/Health Care,Health Care Quality,,,,,,
310608,Dr Ann L Cornish,Walter and Eliza Hall Institute,VIC,MRI,Building Capacity-People,People Support,Training Fellowship (Australia),Peter Doherty Fellowship,Role of NKT cells in the regulation of tumour immunity,Role of NKT cells in the regulation of tumour immunity,2003,2004,,"$64,750","$16,500","$41,762",,"$63,645","$71,250","$61,807",,,,,,,,"$319,714",Basic Science,IMMUNOLOGY,Tumour Immunology,APC,CD1d,NKT cells,,,,,,,
310610,Dr Jared F Purton,University of Melbourne,VIC,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Factors involved in the development and homeostasis of CD4 memory T cells,Factors involved in the development and homeostasis of CD4 memory T cells,2003,2004,,"$62,215","$81,493","$22,925",,"$40,472","$71,250","$31,156",,,,,,,,"$309,511",Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,T cell homeostasis,T cell memory,signalling pathways,,,,,,,
310616,Dr Julian I T Heng,University of Melbourne,VIC,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Role of proneural bHLH transcription factors in the mammalian central nervous system during development and in adulthood,Role of proneural bHLH transcription factors in the mammalian central nervous system during development and in adulthood,2003,2004,,"$86,557","$115,520","$28,161","$51,375","$69,750","$92,774","$27,528",,,,,,,,"$471,665",Basic Science,GENETICS,Neurogenetics,behavioural neurogenetics,developmental neurobiology,proneural transcription factors,reverse genetics,,,,,,
310644,Dr Ruth  McNair,University of Melbourne,VIC,University,External Funding,People Support,NHMRC Scholarship,Primary Health Care Scholarship,Disclosure and attitudes to lesbians: Outcomes in General Practice (DIALOG),Disclosure and attitudes to lesbians: Outcomes in General Practice (DIALOG),2003,2004,,"$29,489","$30,014","$30,600",,"$22,354",,$586,,,,,,,,"$113,043",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,disclosure,general practice,lesbian,,,,,,,
316001,Prof Rinaldo  Bellomo,Monash University,VIC,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,National Centre for Intensive Care Research,National Centre for Intensive Care Research,2004,2006,,,,"$387,000","$258,000","$258,000","$258,000","$129,000",,,,,,,,"$1,290,000",Health Services Research,OTHER PHYSICAL SCIENCES,Instruments and Techniques,Intensive care ,,,,,,,,,
316951,Dr James RG Butler,Australian National University,ACT,University,Translational Research,Research Support,NHMRC Strategic Awards,Health Services Research,"ACERH- Inovative analyses of health insurance, ageing and the economic burden of illness and injury","ACERH- Inovative analyses of health insurance, ageing and the economic burden of illness and injury",2004,2005,,,"$1,061,200","$1,065,200","$853,200","$396,600","$727,200","$396,600",,,,,,,,"$4,500,000",Health Services Research,ECONOMICS,Health Economics,Ageing,Disability,Health Financing,Health insurance,Injury,,,,,
316977,Dr Lixin  Rui,Australian National University,ACT,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,The role of the NF-kB pathway in primary mediastinal B cell lymphoma,The role of the NF-kB pathway in primary mediastinal B cell lymphoma,2004,2005,,,"$81,367","$92,107","$24,576","$85,833",,"$60,874",,,,,,,,"$344,757",Basic Science,IMMUNOLOGY,Tumour Immunology,Apoptosis,Cell Proliferation,DNA Micoarray,Lymphona,NF-kB,,,,,
317808,Dr Xiao-Jun  DU,Baker IDI Heart and Diabetes Institute,VIC,MRI,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$129,500","$131,750","$134,000","$136,500","$138,750","$141,101",,,,,,,,"$811,601",Clinical Medicine and Science,CLINICAL SCIENCES,Cardiology (incl. Cardiovascular Diseases),Gene expression,Genetically modified mouse models,Heart failure,Myocardial hypertrophy,,,,,,
317814,Dr Walter  Thomas,University of Queensland,QLD,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$114,500","$116,750","$119,000","$151,875","$123,750","$126,101",,,,,,,,"$751,976",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,G protein-coupled receptors,arrestins,cell signalling,desensitisation,,,,,,
317838,Dr Tanya L Medley,Baker IDI Heart and Diabetes Institute,VIC,MRI,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Potential of Transgenic mice derived vascular progenitor cills for myocardial revascularisation,Potential of Transgenic mice derived vascular progenitor cills for myocardial revascularisation,2004,2005,,,"$24,384","$84,717","$84,795","$52,313","$71,250","$16,877",,,,,,,,"$334,336",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,Cardiovascular,Infarction,Stem Cell,Transplant,,,,,,
323242,Prof Stephen  R Zubrick,Curtin University of Technology,WA,University,Support for Research,Research Support,NHMRC Strategic Awards,A Healthy Start to Life (for ATSI),Restor(y)ing Aboriginal Parenting: Development and evaluation of a culturally relevant program to support Aboriginal par,Development and evaluation of a program for Aboriginal parents to build strong families and give children a healthy star,2004,2005,,,,"$342,720","$302,399","$403,198","$403,198","$161,279",,,,,,,,"$1,612,794",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Indigenous Health,Aboriginal ,Culture,Evaluation,Parenting,Resilience,,,,,
323248,Dr Richard D Chenhall,Menzies School of Health Research,NT,MRI,Building Capacity-People,People Support,Training Fellowship (Australia),Aust Training Fellowship for ATSI Health Research,Best practice guidelines for evaluating Indigenous residential alcohol & drug programs.,Best practice guidelines for evaluating Indigenous residential alcohol & drug programs.,2004,2005,,,"$33,055","$67,250","$17,125","$69,750","$71,250","$18,127",,,,,,,,"$276,557",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Indigenous Health,alcohol,evaluation,indigenous,treatment,,,,,,
324104,A/Pr Gary  Partington,Edith Cowan University,WA,University,Support for Research,Research Support,NHMRC Strategic Awards,A Healthy Start to Life (for ATSI),Keeping Kids on Track: An initiative developing the resilience of Aboriginal students during a critical transition phase,Happy Kids Initative,2004,2005,,,"$107,283","$411,250","$357,609","$151,984","$224,416","$177,894",,,,,,,,"$1,430,436",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Indigenous Health,Intervention,capacity ,education,emotional wellbeing,resilience,,,,,
325647,Dr Kara L Britt,Monash University,VIC,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,"Roles of pregnancy, estrogen and proliferation in the stem cell biology of the mammary gland","Roles of pregnancy, estrogen and proliferation in the stem cell biology of the mammary gland",2004,2005,,,"$88,119","$113,945","$29,505",,"$102,125","$38,754",,,,,,,,"$372,448",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,breast,carcinogenesis,cell cycle,estrogen,stem cells,,,,,
334035,A/Pr David H Small,Menzies Research Institute,TAS,MRI,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$129,500","$131,750","$134,000","$136,500","$138,750","$141,101",,,,,,,,"$811,601",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,acetylcholinesterase,dementia,diagnostics,neurodegeneration,protein folding,,,,,
334063,Prof Peter AW Rogers,Monash University,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$125,250","$127,750","$130,250","$133,000","$135,500","$138,074",,,,,,,,"$789,824",Basic Science,CLINICAL SCIENCES,Obstetrics and Gynaecology,angiogenesis,endometriosis,endometrium,leiomyoma,women's health,,,,,
334095,Prof Richard  Harding,Monash University,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$141,500","$144,250","$147,250","$150,250","$153,250","$156,161",,,,,,,,"$892,661",Basic Science,CLINICAL SCIENCES,Foetal Development and Medicine,brain injury,early origins of adult diseases,intrauterine growth restriction,lung development,preterm birth,,,,,
334100,A/Pr Andrew G Elefanty,Monash University,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$103,500","$105,500","$107,500","$109,750","$112,000","$114,128",,,,,,,,"$652,378",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,Differentiation,Embryonic stem cell biology,Mesendodermal lineages,Treatments,,,,,,
334179,Dr Marija  Tauschek,University of Melbourne,VIC,University,Building Capacity-People,People Support,Training Fellowship (Australia),Peter Doherty Fellowship,Identificaiton of novel virulence determinants of enterohaemorrhagic Escherichia coli using a whole genome approach,Identificaiton of novel virulence determinants of enterohaemorrhagic Escherichia coli using a whole genome approach,2004,2005,,,"$16,500","$33,625","$68,500","$81,375","$70,000","$42,071",,,,,,,,"$312,071",Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,Bacterial infections,Escherichia coli,Miroarray,Virulence factors,,,,,,
334191,Dr Glyn L Devlin,Monash University,VIC,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Molecular mechanisms of misfolding disease: Formation of toxi protobibrils by B-amyloid and a-synuclein,Molecular mechanisms of misfolding disease: Formation of toxi protobibrils by B-amyloid and a-synuclein,2004,2005,,,"$96,185","$95,972","$24,670","$52,313","$72,351","$27,528",,,,,,,,"$369,019",Basic Science,MEDICAL BIOCHEMISTRY AND CLINICAL CHEMISTRY,Medical Biochemistry: Proteins and Peptides,Amyloid,Molecular chaperones,Protein-Protein Interactions,protein Aggregation,protofibrils,,,,,
334313,A/Pr Hans-Henrik M Dahl,Murdoch Childrens Research Institute,VIC,MRI,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$125,250","$127,750","$130,250","$133,000","$135,500","$138,074",,,,,,,,"$789,824",Basic Science,GENETICS,Gene Expression,animal models ,gene expression,gene identification,sensorineural hearing loss,stem cells differentiation,,,,,
336704,Dr Rose Boutros,University of Queensland,QLD,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,Identification & functional analyses of novel post-translational modifications of CDC25B.,Identification & functional analyses of novel post-translational modifications of CDC25B.,2005,2007,,,,,"$78,008","$77,185","$87,438","$72,508",,,,,,,,"$315,139",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development (incl. Cell Division and Apoptosis),CDC25B,Cancer therapeutics,Cell cycle progression,G2-M transition,Post-translational modifications,,,,,
337911,Prof John F Seymour,University of Melbourne,VIC,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,The Australasian Leukaemia and Lymphoma Group (ALLG) Trial Centre,The Australasian Leukaemia and Lymphoma Group (ALLG) Trial Centre,2004,2006,,,,"$262,000","$158,000","$133,000","$133,000","$104,000",,,,,,,,"$790,000",Clinical Medicine and Science,CLINICAL SCIENCES,Oncology and Carcinogenesis,best practice,bone marrow transplant,cancer chemotherapy,clinical trial,,,,,,
338800,A/Pr Carmel M Hawley,University of Queensland,QLD,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,Australasian Kidney trials (AKT) Network,Australasian Kidney trials (AKT) Network,2004,2006,,,,"$387,000","$258,000","$258,000","$258,000","$129,000",,,,,,,,"$1,290,000",Clinical Medicine and Science,CLINICAL SCIENCES,Nephrology and Urology,Chronic Renal Disease,Clinical Trial,Evidence based medicine,Nephrology,,,,,,
340308,Dr Lisa S Jeffs,Royal Adelaide Hospital,SA,Hospital,Building Capacity-People,People Support,NHMRC Scholarship,Medical Postgraduate Scholarship,Pathogenesis of Wegener's Granulomatosis and Microscopic Polyangiitis,Pathogenesis of Wegener's Granulomatosis and Microscopic Polyangiitis,2004,2005,,,"$54,894","$16,300","$23,027","$1,730","$29,838","$17,924",,,,,,,,"$143,713",Basic Science,IMMUNOLOGY,Cellular Immunology,monocyte,myeloperoxidase,proteinase-3,toll-like receptors,vasculitis,,,,,
343020,Prof Ronald R Grunstein,University of Sydney,NSW,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,Australian Sleep Health Clinical Trials Network ,Australian Sleep Health Clinical Trials Network ,2004,2006,,,,"$208,000","$208,000","$208,000","$208,000","$208,000","$333,000","$250,000","$250,000",,,,,"$1,873,000",Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,circadian rhythms,clinical research,clinical trial,sleep,sleep apnoea,,,,,
349405,Prof Douglas A Brooks,University of South Australia,SA,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$114,500","$116,750","$119,000","$121,500","$123,750","$126,101",,,,,,,,"$721,601",Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,Lysosomal storage disorders,,,,,,,,,
349441,Dr Mark A Gibson,University of Adelaide,SA,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$103,500","$105,500","$107,500","$109,750","$112,000","$114,128",,,,,,,,"$652,378",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,Connective tissue diseases,Elastic fibres,Extracellular matrix,Glycoproteins,Microfibrils,,,,,
349443,A/Pr Mark B Nottle,University of Adelaide,SA,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$114,500","$116,750","$119,000","$121,500","$123,750","$126,101",,,,,,,,"$721,601",Basic Science,BIOTECHNOLOGY,Biotechnology not elsewhere classified,reproductive biology,,,,,,,,,
349473,A/Pr Raymond J Rodgers,University of Adelaide,SA,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$125,250","$127,750","$130,250","$133,000","$135,500","$138,074",,,,,,,,"$789,824",Basic Science,CLINICAL SCIENCES,Reproduction,cells,extracellular matrix,follicle,hormones,ovary,,,,,
349565,Dr Grant  Buchanan,University of Adelaide,SA,University,Building Capacity-People,People Support,Training Fellowship (Overseas),CJ Martin Fellowship,In vivo regulators of androgen receptor function inprostate cancer,In vivo regulators of androgen receptor function inprostate cancer,2004,2006,,,,"$69,252","$89,992","$76,021","$71,250","$8,442",,,,,,,,"$314,957",Basic Science,CLINICAL SCIENCES,Endocrinology,androgen receptor,coactivators,corepressors,prostate cancer,steroid signalling,,,,,
349570,Prof Caroline A Crowther,University of Adelaide,SA,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,Interdisciplinary Maternal Perinatal Action on Clinical Trials Collaboration,Interdisciplinary Maternal Perinatal Action on Clinical Trials Collaboration,2004,2005,,,"$104,000","$208,000","$208,000","$208,000","$208,000","$204,000",,,,,,,,"$1,140,000",Health Services Research,CLINICAL SCIENCES,Obstetrics and Gynaecology,evidenced based clinical practice,maternal and child health,randomised controlled trials,,,,,,,
350217,Dr Jeffrey R Mann,Murdoch Childrens Research Institute,VIC,MRI,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$114,500","$116,750","$119,000","$121,500","$123,750","$126,101",,,,,,,,"$721,601",Basic Science,GENETICS,Genetic Development (incl. Sex Determination),cancer,development,epigenetics,germ-cell,tumour,,,,,
350235,Prof Arthur  Shulkes,University of Melbourne,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$141,500","$144,250","$147,250","$150,250","$153,250","$156,161",,,,,,,,"$892,661",Basic Science,CLINICAL SCIENCES,Gastroenterology,gastrin,gastrointestinal endocrinology,regulatory peptides,,,,,,,
350347,Prof John F Bateman,Murdoch Childrens Research Institute,VIC,MRI,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$151,500","$154,250","$157,250","$160,250","$163,250","$166,161",,,,,,,,"$952,661",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,"Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)",Cartlilage ,Collogen,Development,Extracellular matrix,Inherited disease,,,,,
350418,Prof Richard GH Cotton,University of Melbourne,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$141,500","$144,250","$147,250","$150,250","$153,250","$156,161",,,,,,,,"$892,661",Basic Science,GENETICS,Genetics not elsewhere classified,DNA diagnostics,Molecular genetics,Mutation,Mutation detction,Mutation documentation,,,,,
350904,Dr James A Brock,University of Melbourne,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2004,2005,,,"$103,500","$105,500","$107,500","$109,750","$112,000","$114,128",,,,,,,,"$652,378",Basic Science,NEUROSCIENCES,Autonomic Nervous System,Control of neurotransmitter release,Neurovascular transmission,Spinal cord injury,pain,sensory nerve terminal biology,,,,,
351204,Ms Josephine  Gwynn,University of Newcastle,NSW,University,Support for Research,Research Support,NHMRC Strategic Awards,A Healthy Start to Life (for ATSI),A type II diabetes adn obesity prevention program for Primary school aged rural indigenous children,The Many Rivers Diabetes Prevention Program,2004,2005,,,,"$374,342","$299,474","$299,474","$299,474","$224,606",,,,,,,,"$1,497,370",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Indigenous Health,Indigenous,Type II Diabetes,children,chronic disease,prevention,,,,,
351217,A/Pr David  Ball,University of Newcastle,NSW,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,Trans Tasman Radiation Oncology Group (TROG),Trans Tasman Radiation Oncology Group (TROG),2004,2005,,,,"$358,000","$258,000","$258,000","$258,000","$383,000","$250,000",,,,,,,"$1,765,000",Clinical Medicine and Science,CLINICAL SCIENCES,Oncology and Carcinogenesis,cancer,cancer chemotherapy,clinical research,radiotherapy,randomised controlled trial,,,,,
