ID,Submit Year,Start Year,Title,Description,Institution,Investigators,Discipline
DP1092442,2009,2010,Neural mechanisms of attention in the honeybee and Drosophila melanogaster,"How does the brain operate to allow animals to attend to salient cues within the complex natural world?  To address this question, we propose the use of two model systems, namely the honeybee and the fly, Drosophila melanogaster.  We will address how neurons (excitable nerve cells) and neural networks change their responses to attended visual cues.  We will investigate how brain activity correlates with attention in the bee and subsequently manipulate this activity using genetic tools in Drosophila to pinpoint the mechanisms underlying attention.   The proposed research addresses how attention operates on the level of neurons and neural networks in awake, behaving animals to expand our understanding of the neural mechanisms of attention.",The University of Queensland,Dr AC Paulk,Qld
DP1092444,2009,2010,Elucidating a key developmental switch in Haemonchus contortus using a massively parallel picolitre reactor sequencing-coupled genomic and bioinformatic platform,"This integrated, collaborative project will utilize new and exciting Frontier and Smart Technologies to investigate, in a targeted way, the molecular basis of development in one of the most important endoparasites of livestock. The research outcomes will be enhanced fundamental knowledge and understanding of key developmental processes in this key pathogen. This will construct a solid foundation for the development new methods of intervention against pathogens. This is crucial, given the major problems with drug resistance in endoparasites of livestock.",The University of Melbourne,Prof RB Gasser; Prof PW Sternberg; Dr AC Loukas,Vic
DP1092445,2009,2010,"Technology and behavioural evolution in late Pleistocene Africa, Europe and Australia","The project tests competing models of human behavioural evolution in the late Pleistocene, using assemblages of stone artefacts from Africa, Europe and Australia. The project has two components. The first involves using finely-resolved technological and palaeoecological data from African sites to assess whether the capacity of humans to develop technological solutions to environmental variation changed significantly over the last 120 000 years. The second examines whether the technologies which appeared at this time were crucial to the human colonisation of new environments in Europe and Australia after 60 000 years. The project will result in a reappraisal of human behavioural evolution.",The Australian National University,Prof P Hiscock; Mr AC Mackay; Dr BM Chase,ACT
DP1092458,2009,2010,Design of reactive foils for joining amorphous alloys,"Amorphous alloys are very promising materials for many technological applications because of their extraordinary properties that include high strength, toughness, corrosion resistance etc. However, amorphous alloys are very restricted in application by the inability to join them readily to make larger assemblies. Conventional methods do not work because of the high cooling rates required to maintain amorphousness. This research, which consists of novel experimental and computational components, investigates highly reactive foils for the purposes of joining amorphous alloys. It is anticipated that the research will lay the foundation for a robust and reliable means for joining these materials and facilitate their uptake in technology. ",The University of Newcastle,Prof IV Belova; Dr DP Riley; Dr T Fiedler; Prof Dr A Oechsner,NSW
DP1092464,2009,2010,Designing software for secrecy: Security-enabled program algebra,"Bad software design is the direct cause of many security breaches in computer systems. Security is a contemporary issue of the highest importance because of the pervasive access offered by the web: a system's user population is no longer limited or legislated; rather it is unknown, widely distributed and possibly hostile.



This research builds on our major theoretical breakthrough in software analysis which has the potential to allow software security properties to be accurately defined and analysed. It will lead to the creation of new smart technology for designing and implementing resilient software, mathematically proven to withstand hostile attacks. ",Macquarie University,A/Prof AK McIver; Prof CC Morgan; Prof MJ Butler,NSW
DP1092465,2009,2010,Understanding how reproduction and sexual conflict drive sex-dependent longevity and ageing,"Despite a great deal of success explaining the broad mechanisms and evolutionary processes that influence ageing, we still know very little about why males and females differ in lifespan and in how they age. Such differences may be due to the profound differences between males and females in how they invest in reproduction as well as to conflict between males and females over reproduction and the constraints of sharing a genome. I will study how reproduction and sexual conflict lead both to oxidative damage to macromolecules and to trade-offs between current and future reproduction. This will provide the most complete integration to date of mechanistic and evolutionary evidence for why the sexes age differently.",The University of New South Wales,Prof RC Brooks,NSW
DP1092466,2009,2010,Characterisation of the novel mitochondrial protein (CABC1/ADCK3) and its role in protecting against oxidative stress,"The specific defect being investigated here is in a mitochondrial protein CABC1/ADCK3. Mutations in the gene coding for this protein have been shown to be associated with a novel human genetic disorder. The aim here is to characterise the protein and investigate its function with a view to elucidating the connection between defects in mitochondrial electron transport chain proteins and the appearance of oxidative stress. A greater understanding of this protein, its cellular localization and activity will assist in delineating its normal role in the cell to protect against neurological abnormalities. ",The University of Queensland,Prof MF Lavin,Qld
DP1092470,2009,2010,Environmental fingerprints of biogeochemical cycles embedded in tree rings: Linking global climate change to local long-term forest productivity ,"Recent tree ring research highlights the worsening impact of global climate change (GCC) on long-term productivity of forests in central Europe. This project aims to develop and apply novel tree ring technologies for linking biogeochemical cycles of carbon and nutrients to long-term forest productivity in different regions, and to test hypotheses that long-term forest productivity in different regions respond differently to GCC and historical episodes, and that improved understanding of environmental fingerprints of the biogeochemical cycles embedded in tree rings can be used to account for long-term forest productivity and carbon stocks at different scales in response to future GCC.",Griffith University,Prof Z Xu; Prof R Oren; Prof S Linder; Prof T Drouet; Prof X Shao; Prof Q Zhang; Prof CE Johnson; Prof Z Cai; Prof Y Zhu; Dr C Chen; Dr SE Boyd,Qld
DP1092474,2009,2010,Reform of the Personal Liability of Directors for Unpaid Employee Entitlements,"Laws imposing liability on corporate directors must balance responsible governance by directors and the need for appropriate compensation for affected parties with the risk of inhibiting directors' legitimate commercial decision-making. A pressing issue is the extent to which directors should be liable for unpaid employee entitlements, given the ineffectiveness of the relevant Corporations Act provisions and the burden this places on taxpayers. This project will examine other models of liability, which provide greater deterrence and possible compensation, including incentives to place companies into voluntary administration. The objective is to recommend reform of the employee entitlement provisions. ",Monash University,Dr HL Anderson,Vic
DP1092483,2009,2010,Laboratory and Theoretical Investigation of Soft Clay Behaviour under Cyclic Loading Stabilised by Prefabricated Vertical Drains,"Soft and yielding coastal clays often hamper the development of transportation infrastructure including embankments that are subjected to cyclic loads.  The use of prefabricated vertical drains (PVD) can ensure sufficient drainage of soft clays by rapid pore pressure dissipation, thereby increasing the soil strength and minimising post-construction deformation. The main aim is to understand the intricate behaviour of soft soil under cyclic loading stabilised by PVD to control excess pore pressure generation and associated settlement and lateral soil movement. The outcome will be reduced construction and maintenance costs. Laboratory and field studies utilising computer modelling will result in improved design concepts and guidelines.",University of Wollongong,Prof BN Indraratna; Dr C Rujikiatkamjorn; Dr MD Liu; Dr J Chu,NSW
DP1092488,2009,2010,"Detailed understanding of the behaviour of soot in, and emission from, turbulent flames and fires","The proposal aims to provide new understanding of a series of flames of practical significance and new capacity to optimise them by coordinated measurements and modelling. It aims to provide the first comprehensive set of detailed measurements in turbulent flames containing soot, building on a recent breakthrough in temperature measurement using advanced laser diagnostics. These data will be used to provide new understanding, guide the development of models and allow their rigorous validation over a wide range of conditions. The research will contribute to reduced pollutant emissions and increased performance of industrial combustion systems, allow optimisation of carbon nano-particle production and increase the capacity to model fires.",The University of Adelaide,Prof GJ Nathan; A/Prof BB Dally; Prof H Pitsch,SA
DP1092489,2009,2010,To investigate the role of the protein kinase SMG-1 in the stress response,A variety of mechanisms are available to cells to respond to DNA damage and other forms of stress. The protein kinase SMG-1 plays several roles in protecting cells against a variety of stresses. The overall aim is to employ a mutant mouse model of Smg-1 to investigate its role in the stress response. We have generated a knockout mutant mouse for SMG-1 and described an emerging phenotype in carriers of the mutant gene (Smg-1+/-).Furthermore this important resource will be used in strategic crosses with other mouse mutants in separate or overlapping pathways in the stress response. This project is significant in that it describes a novel approach to investigating the role of a specific protein involved in the stress response.,The University of Queensland,Prof MF Lavin; Dr TL Roberts,Qld
DP1092490,2009,2010,Draining the will for peace or war: Understanding how social influence and self-regulation processes interact in conflict,"Conflict is common, whether between racial, religious, and political groups, or between businesses and firms. Yet conflict frays tempers, wastes time, costs money, and hurts people. Destructive conflict escalation may occur despite rational plans and good intentions. This process is poorly understood. Recently motivation researchers discovered that tasks requiring willpower drain the resources individuals have available for other challenges, a state called 'ego-depletion'. The present research will improve our understanding of how good intentions fail and conflict escalates. It will do so by studying the impact of ego-depletion in decreasing adherence to internalised social rules, or norms, and increasing reactivity to situational cues.",The University of Queensland,Dr WR Louis; Dr JR Smith; Dr KD Vohs,Qld
DP1092491,2009,2010,"International Criminal Justice: Law, Policy and its Relevance to Australia's security ","International Criminal Justice (ICJ) is a discipline of increasing importance in global and national responses to atrocity and violence, in particular war crimes and terrorism. Australia has always been a significant participant in International Criminal Justice, contributing to the development of the legal, political and social issues associated with ICJ. Australia's security, as well as its standing in the international community will continue to be directly affected by the way it understands and applies ICJ. This project will critically analyse and assess the role, nature and impact of ICJ on Australia, make an important contribution to academic work and impact on policy development in this area.",Monash University,Dr GJ Boas; Prof W Schabas; Prof MP Scharf,Vic
DP1092492,2009,2010,Understanding the mechanism of Wolbachia-mediated antiviral protection,"Pathogenic viruses that rely on insects for transmission between hosts cause many serious diseases in plants and animals. Understanding antiviral responses in insects is critical for strategies aimed at controlling insect virus transmission. We recently demonstrated that insects infected with the extremely common bacteria, Wolbachia are substantially protected from pathogenic viruses. This project will investigate the mechanisms that drive Wolbachia-mediated antiviral protection. This knowledge will significantly advance our understanding of control of virus infection in insects and will facilitate programs to control virus disease.",The University of Queensland,Dr KN Johnson; Prof SL O'Neill; Dr JC Brownlie,Qld
DP1092496,2009,2010,The arithmetic of supersingular elliptic curves,"The project aims to reveal the hidden arithmetical properties of elliptic curves, at their so-called ""supersingular"" primes.

This has fundamental consequences both to our understanding of elliptic curve theory, and to non-commutative Iwasawa theory in general.

   The investigators expect to discover/develop:



(i) the asymptotic behaviour of supersingular elliptic curves over

p-adic Lie extensions;



(ii) a deeper understanding of the infamous Birch and Swinnerton-Dyer

conjecture;



(iii) a numerical method of computing L-values over non-abelian field extensions.



The software developed will be marketed as part of the MAGMA computer package.",Monash University,Dr D Delbourgo; Prof D Benois; Prof O Venjakob,Vic
DP1092501,2009,2010,Creation of a non-venomous honey bee,"Bees are responsible for more deaths of Australians than sharks, snakes and spiders. Our goal is to make a bee that has a less dangerous sting, using two approaches. We aim to mutate the gene for phospholipase A2, the main allergen in the venom of the honey bee using a technique that induces a natural mutation, but does not otherwise modify the bee's genome. Secondly, we will make transgenic bees that express a programmed cell death protease in their venom cells, driven by the promoter for melittin, the main protein component of bee venom.",La Trobe University,Prof DL Vaux,Vic
DP1092502,2009,2010,Stochastic analysis and the development and application of financial risk processes,"This project will continue a deep and intensive theoretical study into continuous time stochastic processes, concentrating on developing tools for the further analysis and understanding of insurance risk processes, portfolio analysis, value-at-risk calculations, and complex financial instruments, with particular emphasis on practical applications of the methodologies in the insurance and finance industries. Outcomes will be of direct interest to these industries as well as having significant mathematical interest. A coordinated effort involving Australian and top international experts will ensure an extremely high level research endeavour with a global reach and international networking.",The Australian National University,Prof RA Maller; Prof CC Klueppelberg,ACT
DP1092507,2009,2010,The distortion of eyewitness identification testimony,"Criminal justice systems in Australia, the United Kingdom and the United States rely on eyewitness identification testimony to determine the guilt of defendants. Yet eyewitness memory experiments, cases of mistaken identity and DNA exonerations have shown that this testimony can be easily and profoundly distorted by social influences. Our project tests when, how and why eyewitness identification testimony can be so profoundly distorted, providing a theoretical explanation that leads to better understanding of the processes involved in optimising the reliability of evidence from witnesses and suggesting practical reforms in the collection of eyewitness evidence. ",The University of Adelaide,Dr C Semmler; Prof N Brewer; Dr AB Douglass,SA
DP1092508,2009,2010,"A new improved solution to global optimization over multivariate polynomials: Mathematical principles, numerical methods and selected applications","Optimization is a commonly used technology in industry and scientific disciplines to find locally ""best"" solutions for their problems. Problems involving polynomials may have numerous locally best solutions that are not globally best.  How to find globally best solutions of these problems has become a critical question world-wide, and  is essential to improving  performance. Yet, there are no known criteria for identifying such solutions. This project will provide a new methodology, capable of determining the mathematical principles for the identification of globally best solutions, develop reliable methods for finding these solutions, and produce algorithms for use in applications such as localization problems in wireless sensor networks.",The University of New South Wales,Prof V Jeyakumar; Prof G Lee; Prof B Mordukhovich; Prof S Kim; Dr G Li,NSW
DP1092513,2009,2010,Entanglement renormalization: a new route to strongly correlated fermions and novel states of matter in two dimensions,"This Discovery Project aims to answer longstanding questions in the field of condensed matter physics. A series of fundamental problems in our understanding of quantum states of matter, including the mechanisms that produce high-temperature superconductivity or the transition between a Mott insulator and a metal will be addressed. These problems have remained open for decades, but a definitive answer is now at reach thanks to a breakthrough numerical approach to strongly correlated fermions in two dimensions recently developed at the University of Queensland in collaboration with prestigious international collaborators. ",The University of Queensland,Prof G Vidal; Dr IP McCulloch; Dr PR Corboz,Qld
DP1092523,2009,2010,A Principled Theory of Legal Interpretation,"This project extends a recent, innovative approach in philosophy of language to provide an analysis of the meaning of statements of law. Law is a very important area of discourse. Yet it is one that few philosophers of language have explored, and which gives rise to distinctive interpretive issues that orthodox approaches in philosophy of language are unable to resolve. Developed appropriately, the innovative approach that we adopt - a speech-act theoretic approach - is able to resolve those issues. Because the project results in a novel and philosophically sound theory of legal interpretation, and uses that theory to resolve controversies in Australian constitutional law, it also makes a major contribution to legal theory and practice.",Monash University,Prof JD Goldsworthy; Dr DA Smith; Dr PC Emerton; Dr SJ Barker; Mr RE Ekins,Vic
DP1092525,2009,2010,"Agriculture, politics and trade: Understanding Japan's reform processes and prospects","Agriculture is the principal stumbling block to the successful conclusion of international agreements to liberalise trade. Japanese agriculture, in particular, presents a major obstacle to such trade agreements. This project aims to deepen our understanding of Japan's agricultural trade reform processes and prospects by analysing how changing domestic interests, institutions and ideas are moving Japan in the direction of freer trade in agriculture. The study will apply the insights gained from the research to an in-depth analysis of the Australia-Japan Free Trade Agreement and Japan's new agricultural trade negotiating position at the World Trade Organization.",The University of New South Wales,Dr AD George Mulgan; Prof M Honma,NSW
DP1092526,2009,2010,"Youth and violence: Occurrence, epidemiology and function","This study will examine appetitive violence, an emerging problem in young offenders. Appetitive violence is similar to instrumental violence, in that it is proactive; it differs because it is associated with a positive emotional state and has social-emotional, rather than tangible objectives. Media reports suggest appetitive violence is alarmingly common. However, no empirical scrutiny of this type of violence exists. This study will explore the psychological characteristics of youth who engage in appetitive violence and their performance following release from custody. Key outcomes will include the identification of treatment needs necessary for effective programming and enhanced risk assessment for statutory releasing authorities.",Monash University,Dr MD Daffern; Dr SD Thomas,Vic
DP1092527,2009,2010,Discovering New Particle Physics with Dark Matter and Astrophysical Neutrinos ,"Dark Matter and Neutrino Astrophysics, the two inter-related thrusts of this project, reside at the frontier of elementary particle physics.  Most of the matter in the Universe consists of dark, unknown particles, and is the strongest evidence that fundamental new particle physics remains to be discovered.  We shall constrain the particle properties of dark matter and explore the possibility that recently reported galactic signals are first evidence of dark matter annihilation.  Neutrino Astrophysics provides a unique tool to study dark matter interactions and particle physics at extreme energies.  We will characterize neutrino fluxes and use them to probe both particle properties and the Universe itself.",The University of Melbourne,Dr NF Bell; A/Prof JF Beacom,Vic
DP1092534,2009,2010,Sustainable farming in Australia: Market instruments for improved land management ,"Australian farmers are under increasing pressure to adopt improved land management practices at a time when farm viability is threatened by climate change and volatile global markets. This project investigates the responses of farmers to policy instruments designed to mobilise the market to assist in managing these competing demands. Through the analysis of Australian and international policies, as well as case studies across three farming industries, the research will provide significant theoretical and practical insights into the contribution of these policy instruments to more sustainable farming practices and resilient rural environments. Results of the study will be communicated widely to academic, government and industry audiences. ",Monash University,Dr V Higgins; Prof CR Cocklin; Dr C Potter,Vic
DP1092537,2009,2010,The archaeology of cultural interaction: The working lives of Greek colonists and indigenous Syrians in Seleucid Syria,"The excavations of the site of Jebel Khalid in Syria are internationally acknowledged as of the utmost significance for the study of the Hellenistic Near East, because of the state of preservation, extent and nature of surviving material, and the lack of superimposed later material. It is an ideal site to provide data on the socio-economic life of the region and upon which a study of the interaction between colonists and native populations can be based. These themes are central to our understanding of how the site functioned within its broader historical context.",The Australian National University,Em/Prof GW Clarke; Dr HM Jackson,ACT
DP1092538,2009,2010,Novel approaches to the forensic identification of human remains: integration of studies of bone form and chemistry,"Identifying victims of terrorism, mass disaster and criminal activity is crucial to prosecute offenders and bring closure to families. We aim to bring identification methods into the 21st century and significantly improve our ability to accurately profile unknown remains. In the basic sciences, new computer methods (morphologika2) have transformed the study of bone form, and new isotope and trace element analyses have revolutionized studies of bone composition. Combining these approaches, not previously used together in forensics, will help safeguard Australia in accidents, disasters, terrorism and crime. This revolutionary approach may be not unlike that of DNA on cells and molecules.  ",The University of Western Australia,Dr D Franklin; Prof CE Oxnard; Prof RJ Watling; Prof P O'Higgins; Dr A Cardini; A/Prof J Hoogewerff; Mr H Green; Prof M Marks,WA
DP1092543,2009,2010,Mapping new cathode materials for aqueous rechargeable batteries: The mechanism of intercalation of lithium in aqueous solutions,"Significant advances in research of alkaline batteries have been made in the past decade. However, identifying the lithium insertion/extraction mechanism has not been achieved. The key concept and strategy of this project lies in the unique property of transforming the primary battery into a high performance secondary battery while using aqueous lithium hydroxide as an electrolyte. The aim of this project is to map new cathode materials and provide new insights into fundamental discharge/charge mechanism by focussing on the cathode material characterization. The expected outcome is a potential cathode material suitable for aqueous systems which has high-energy capacity, long cycle life and low cost.",Murdoch University,Dr M Minakshi,WA
DP1092551,2009,2010,Disgust as a psychosocial defence against infectious disease,"An effective immune system is one way to fight disease, another is to avoid it. The emotion of disgust may represent one such avoidance system.  Our project aims to test this assertion by examining novel predictions derived from it, which span development, cognition, motivation, immunology, health, cultural differences and morality. Infectious disease is now being recognised as a key force in shaping human culture, behaviour and biology. The significance of this project is in establishing the role of disgust in this evolutionary account. Apart from contributing to this important debate, a further outcome is in understanding how disgust can be used to improve human health, with respect to hygiene, risky sexual behaviour and stigmatisation.",Macquarie University,A/Prof RJ Stevenson; Dr TI Case; Dr DM Hodgson; Dr MJ Oaten,NSW
DP1092556,2009,2010,Probing the Universe with gravitational waves: from cutting-edge technology to astronomy,"The enhanced Laser Interferometer Gravitational Observatory (eLIGO) will begin taking science data 24 hours per day, 7 days per week from mid-2009. Its increased sensitivity may well permit the first direct detection of gravitational waves.  We will search LIGO data for these elusive signals with, for the first time, a realistic chance of success. We will carry out directed searches of supernova remnants, pulsar wind nebulae and globular clusters, using intelligent template bank design. Our experimental program will develop quantum technologies for application to future detectors and push towards the limits of opto-mechanical sensing.  Outcomes will impact on macroscopic quantum science and precision metrology.  ",The Australian National University,Prof DE McClelland; A/Prof SM Scott; Dr SE Whitcomb; Prof N Mavalvala; Dr R Schnabel; Prof B Owen,ACT
DP1092560,2009,2010,Tailored porphyrins for nanoscience applications,"This project will establish a new paradigm for porphyrins - highly conjugated, naturally occurring heterocyclic macrocycles. We will design and synthesise novel porphyrins with inbuilt structural features that will give control over their propensity to self-assemble into monolayers on surfaces and into nanorods. With strong international collaboration we will demonstrate the great potential of these new higher order materials with applications in molecular sensing, photonics, molecular memory devices, catalysis, and organic photovoltaics. Two-photon upconversion sensitized by expanded porphyrins will lead to more efficient solar cells.",The University of Sydney,Prof MJ Crossley,NSW
DP1092565,2009,2010,Fitness in free-living  populations in a changing world,"Climate change can act on population of birds and mammals in ways that are difficult to disentangle. New methods have emerged over the last couple of years that solve the problem of analysing selection of birth and death rates, and how these translate into demographic change, but there are very few populations where parentage and vital rates are sufficiently well-known for the techniques to be applied.  Our long-term study of Malurus cyaneus involves one of the largest pedigrees and most detailed reproductive and demographic data sets ever assembled. We will investigate the impacts of climate change on sexual signalling and life history tactics in the species. ",The Australian National University,Prof A Cockburn; Dr M van de Pol; Dr LE Kruuk,ACT
DP1092569,2009,2010,Inhumanities: Asylum seeker letters and the precarious 'human' rights of contemporary life narrative,"The letters exchanged between asylum seekers and the activists who campaigned on their behalf during the Pacific Solution are now becoming available for scholarly research. In this project the Burnside/Durham and the Smith collections are read as uniquely Australian repositories of life narrative.  In a series of critical articles these letters and their correspondents will be interpreted as epistolary communities which have a major contribution to make to debates about subjectivity, national citizenship and belonging.  These major new resources will then feature in a monograph on testimony and the limits of the human in the emerging international scholarly field of the human and human rights in literary studies.



",The University of Queensland,Prof GL Whitlock,Qld
DP1092571,2009,2010,"Modelling, forecasting, and control for econometrics based on generalized dynamic factor models: a system theoretic approach","The project will develop techniques, using especially tools of linear system theory, for the construction of econometric models of national economies, termed generalized dynamic factor models, based on large numbers of different econometric time series. The models explain behavior in terms of a small number of underlying factor variables, together with noise. The models also can be used to forecast. Theoretical developments will include the ability to build models using time series with different periodicities, e.g. quarterly and monthly and to engage in short-term forecasting.  ",The Australian National University,Prof BD Anderson; Prof Dr M Deistler,ACT
DP1092582,2009,2010,Activation mechanisms of Cys-loop ion channel receptors,"Understanding how proteins work is fundamental to understanding biological processes. Although Cys-loop ligand-gated ion channels have been important models of protein function for 60 years, their structures have only recently become known. We aim to use the glycine-gated Cl channel as a model for studying universal protein structural and functional properties such as agonist activation, partial agonism and desensitisation. Our assay involves simultaneously measuring ionic flux through the receptor while optically monitoring surface conformation changes in real time. It will lead to novel insights into the structure and function of Cys-loop ion channels and of proteins in general.",The University of Queensland,Prof JW Lynch,Qld
DP1092584,2009,2010,Detecting Fraud and Anti-Competitive Behaviour in the Australian Pharmaceutical and Medical Device Industries,"Over 6 billion dollars of public money is expended each year under the Pharmaceutical Benefits Scheme (PBS)and public hospitals spend significant amounts on medical devices. Unlike Australia, in the United States strong anti-fraud and anti-trust legislation regularly recovers substantial public funds fraudulently obtained by pharmaceutical and medical device companies. This Project aims to unite experts in Australian pharmaceutical policy and high technology law enforcement with an eminent United States Partner Investigator in False Claims litigation to develop new legislative and evidentiary strategies to uncover fraud and anti-competitive behaviour in the Australian pharmaceutical and medical device industries.",The Australian National University,A/Prof TA Faunce; Dr GF Urbas; Ms L Skillen,ACT
